DATASET	SEGMENT	TOKENS
abvdphilippines	ī/i	42
abvdphilippines	rː	41
abvdphilippines	î/i	40
abvdphilippines	əə/əː	39
abvdphilippines	ḳ/k	39
abvdphilippines	ü/y	38
abvdphilippines	ū	38
abvdphilippines	kʷ	37
abvdphilippines	ɨ:	33
abvdphilippines	ö/œ	30
abvdphilippines	ú/uː	30
abvdphilippines	ɓ	30
abvdphilippines	kʰ	29
abvdphilippines	ō/o	29
abvdphilippines	ǽ/æ	29
abvdphilippines	gʷ	27
abvdphilippines	mʷ	26
abvdphilippines	û/u	26
abvdphilippines	ṭ/ʈ	26
abvdphilippines	ˀr	25
abvdphilippines	ð̞	24
abvdphilippines	ḍ/ɖ	24
abvdphilippines	pʰ	23
abvdphilippines	ɲ	23
abvdphilippines	yy/jː	22
abvdphilippines	əː	22
abvdphilippines	bʷ	21
abvdphilippines	rʷ	21
abvdphilippines	í:	21
abvdphilippines	iy/i	19
abvdphilippines	lʷ	19
abvdphilippines	š/ʃ	18
abvdphilippines	tʰ	17
abvdphilippines	č/tʃ	16
abvdphilippines	ʕ	16
abvdphilippines	hː	15
abvdphilippines	ē/e	15
abvdphilippines	ì	14
abvdphilippines	úː/uː	13
abvdphilippines	ŋʰ	12
abvdphilippines	ʔʷ	12
abvdphilippines	sʷ	11
abvdphilippines	ǘ/y	11
abvdphilippines	ʉ́/ʉ	11
abvdphilippines	ʔʰ	11
abvdphilippines	íː/iː	10
abvdphilippines	ȡ/ɟ	10
abvdphilippines	nʷ	9
abvdphilippines	rʰ	9
abvdphilippines	wʱ	9
abvdphilippines	ï/ɪ	9
abvdphilippines	ă/a	9
abvdphilippines	dʷ	8
abvdphilippines	hʷ	8
abvdphilippines	ˀŋ	8
abvdphilippines	ã	7
abvdphilippines	óː/oː	7
abvdphilippines	ɛ	7
abvdphilippines	qʷ	5
abvdphilippines	r̃/r	5
abvdphilippines	ï	5
abvdphilippines	ù/u	5
abvdphilippines	ŋː	5
abvdphilippines	dz	4
abvdphilippines	pʷ	4
abvdphilippines	tʷ	4
abvdphilippines	è/e	4
abvdphilippines	ì/i	4
abvdphilippines	ļ/l	4
abvdphilippines	ɨɨ/ɨː	4
abvdphilippines	ðʰ	3
abvdphilippines	ī	3
abvdphilippines	ū/u	3
abvdphilippines	ů/u	3
abvdphilippines	ɑ	3
abvdphilippines	əi	3
abvdphilippines	ɪ	3
abvdphilippines	ɪ́/ɪ	3
abvdphilippines	ai	2
abvdphilippines	dʱ	2
abvdphilippines	ei	2
abvdphilippines	vʰ	2
abvdphilippines	æː	2
abvdphilippines	éː/eː	2
abvdphilippines	êê/eː	2
abvdphilippines	ðː	2
abvdphilippines	ŋʷ	2
abvdphilippines	ũ	2
abvdphilippines	ɵ	2
abvdphilippines	βʷ	2
abvdphilippines	ṫ/t	2
abvdphilippines	ⁿg	2
abvdphilippines	cː	1
abvdphilippines	fː	1
abvdphilippines	gʰ	1
abvdphilippines	jj/dʒː	1
abvdphilippines	tsʰ	1
abvdphilippines	ui	1
abvdphilippines	zʰ	1
abvdphilippines	å/a	1
abvdphilippines	ç	1
abvdphilippines	ø	1
abvdphilippines	ù:/uː	1
abvdphilippines	ŏ/o	1
abvdphilippines	ǵ/g	1
abvdphilippines	ɨː	1
abvdphilippines	ʰm	1
abvdphilippines	ˀf	1
allenbai	⁵⁵	1321
allenbai	³³	1209
allenbai	⁴⁴	1165
allenbai	a	885
allenbai	³¹	863
allenbai	²¹	798
allenbai	ɯ	759
allenbai	i	714
allenbai	⁴²	649
allenbai	ts	629
allenbai	ɛ	614
allenbai	k	565
allenbai	ɔ	501
allenbai	t	492
allenbai	³⁵	482
allenbai	p	442
allenbai	e	437
allenbai	s	423
allenbai	m	386
allenbai	ɿ	360
allenbai	u	349
allenbai	ɤ	345
allenbai	u/w	331
allenbai	j	299
allenbai	tɕ	282
allenbai	o	242
allenbai	ɕ	238
allenbai	x	231
allenbai	kʰ	204
allenbai	ã	203
allenbai	tsʰ	202
allenbai	w	177
allenbai	n	171
allenbai	l	168
allenbai	tɕʰ	158
allenbai	ɛ̃	155
allenbai	ĩ	146
allenbai	pʰ	141
allenbai	ou	130
allenbai	i/j	126
allenbai	ɲ	125
allenbai	ŋ	123
allenbai	ẽ	119
allenbai	ao	110
allenbai	tʰ	94
allenbai	ɯ̃	84
allenbai	f	83
allenbai	v	80
allenbai	ɣ	70
allenbai	y	66
allenbai	õ	65
allenbai	kʲ	63
allenbai	ɔ̃	59
allenbai	z	58
allenbai	³²	58
allenbai	ɔu	58
allenbai	q	47
allenbai	ũ/w	44
allenbai	ʈʂ	41
allenbai	ɤ̃	33
allenbai	ʂ	33
allenbai	sʰ	27
allenbai	d	24
allenbai	b	23
allenbai	æ	23
allenbai	ʔ	23
allenbai	ʐ	22
allenbai	qʰ	20
allenbai	ʈ	18
allenbai	dz	17
allenbai	ʃ	17
allenbai	æ̃	14
allenbai	tʃʰ	13
allenbai	xʰ	12
allenbai	ʊ	12
allenbai	ʅ	10
allenbai	ʈʂʰ	10
allenbai	c	9
allenbai	ɕʰ	9
allenbai	ỹ	9
allenbai	dʑ	8
allenbai	ɔ̃u	8
allenbai	ɴ	7
allenbai	ɴ̩	7
allenbai	ʈʰ	7
allenbai	y/ɥ	6
allenbai	ão	6
allenbai	ʑ	6
allenbai	kʲʰ	5
allenbai	tʃ	5
allenbai	ũ	5
allenbai	ɖ	5
allenbai	χ	5
allenbai	g	4
allenbai	õu	4
allenbai	ɖʐ	4
allenbai	cʰ	3
allenbai	ɑ	3
allenbai	ʁ	3
allenbai	ai	2
allenbai	ɥ	2
allenbai	ɴ̥	2
allenbai	m̩	1
allenbai	ĩʔ/ĩ	1
allenbai	ɛʔ/ɛ	1
allenbai	ɿ̃	1
allenbai	ʅ̃	1
allenbai	ʊ̃	1
allenbai	ʰ/sʰ	1
allenbai	ṽ	1
backstromnorthernpakistan	ɑ	3518
backstromnorthernpakistan	o	3191
backstromnorthernpakistan	ɜ	2965
backstromnorthernpakistan	u	2842
backstromnorthernpakistan	i	2627
backstromnorthernpakistan	m	1836
backstromnorthernpakistan	n̪	1661
backstromnorthernpakistan	l	1598
backstromnorthernpakistan	s̪	1597
backstromnorthernpakistan	t̪	1502
backstromnorthernpakistan	k	1330
backstromnorthernpakistan	b	1127
backstromnorthernpakistan	r̪	1031
backstromnorthernpakistan	e	890
backstromnorthernpakistan	ɛ	798
backstromnorthernpakistan	ɪ	755
backstromnorthernpakistan	p	710
backstromnorthernpakistan	ɾ̪/ɾ	664
backstromnorthernpakistan	g	649
backstromnorthernpakistan	ɕ	616
backstromnorthernpakistan	o̠/o	576
backstromnorthernpakistan	tɕ	573
backstromnorthernpakistan	d̪	561
backstromnorthernpakistan	h	545
backstromnorthernpakistan	ŋ	509
backstromnorthernpakistan	ʂ	468
backstromnorthernpakistan	ˈl/l	395
backstromnorthernpakistan	ʈ	376
backstromnorthernpakistan	ʊ	368
backstromnorthernpakistan	d	366
backstromnorthernpakistan	u̠/u	355
backstromnorthernpakistan	j	342
backstromnorthernpakistan	ˈɾ̪/ɾ	321
backstromnorthernpakistan	ˈk/k	320
backstromnorthernpakistan	ˈb/b	303
backstromnorthernpakistan	z̪	295
backstromnorthernpakistan	ˈm/m	288
backstromnorthernpakistan	ɑː	280
backstromnorthernpakistan	dʑ	267
backstromnorthernpakistan	ˈt̪/t̪	252
backstromnorthernpakistan	β̞	247
backstromnorthernpakistan	ˈg/g	241
backstromnorthernpakistan	ˈɑ/ɑ	238
backstromnorthernpakistan	ɽ	229
backstromnorthernpakistan	pʰ	225
backstromnorthernpakistan	i̠/i	222
backstromnorthernpakistan	kʰ	208
backstromnorthernpakistan	x	206
backstromnorthernpakistan	ó/o	199
backstromnorthernpakistan	ˈɕ/ɕ	199
backstromnorthernpakistan	ʈʂ	198
backstromnorthernpakistan	t̪ʰ	190
backstromnorthernpakistan	ɳ	176
backstromnorthernpakistan	ˈd̪/d̪	175
backstromnorthernpakistan	ɣ	174
backstromnorthernpakistan	q	169
backstromnorthernpakistan	ʐ	167
backstromnorthernpakistan	ˈs̪/s̪	162
backstromnorthernpakistan	ɑ̠/ɑ	159
backstromnorthernpakistan	ˈn̪/n̪	158
backstromnorthernpakistan	ˈj/j	152
backstromnorthernpakistan	ˈp/p	149
backstromnorthernpakistan	ˈtɕ/tɕ	147
backstromnorthernpakistan	ts̪	142
backstromnorthernpakistan	ũ	141
backstromnorthernpakistan	ɑ̀/ɑ	124
backstromnorthernpakistan	ˈkʰ/kʰ	122
backstromnorthernpakistan	ˈh/h	112
backstromnorthernpakistan	ò/o	111
backstromnorthernpakistan	ɑ̃	111
backstromnorthernpakistan	ù/u	108
backstromnorthernpakistan	ɜ̠/ɜ	108
backstromnorthernpakistan	tɕʰ	104
backstromnorthernpakistan	tʰ	96
backstromnorthernpakistan	ˈu/u	95
backstromnorthernpakistan	ˈʈ/ʈ	94
backstromnorthernpakistan	ˈβ̞/β̞	94
backstromnorthernpakistan	í/i	93
backstromnorthernpakistan	õ	89
backstromnorthernpakistan	tθʰ	83
backstromnorthernpakistan	ɖ	82
backstromnorthernpakistan	ú/u	81
backstromnorthernpakistan	l̪	78
backstromnorthernpakistan	f	76
backstromnorthernpakistan	ɑi	76
backstromnorthernpakistan	ʑ	74
backstromnorthernpakistan	é/e	72
backstromnorthernpakistan	ĩ	69
backstromnorthernpakistan	ˈdʑ/dʑ	68
backstromnorthernpakistan	ˈɽ/ɽ	65
backstromnorthernpakistan	ʉ	62
backstromnorthernpakistan	ˈpʰ/pʰ	60
backstromnorthernpakistan	ɛʰ/ɛ	59
backstromnorthernpakistan	ʈʰ	58
backstromnorthernpakistan	è/e	56
backstromnorthernpakistan	ˈi/i	55
backstromnorthernpakistan	ˈɣ/ɣ	55
backstromnorthernpakistan	ì/i	53
backstromnorthernpakistan	ˈɛ/ɛ	53
backstromnorthernpakistan	ei	52
backstromnorthernpakistan	ȵ	52
backstromnorthernpakistan	ɛ̠/ɛ	52
backstromnorthernpakistan	ɨ	51
backstromnorthernpakistan	ˈʐ/ʐ	51
backstromnorthernpakistan	ɑʰ/ɑ	50
backstromnorthernpakistan	ˈʈʂ/ʈʂ	48
backstromnorthernpakistan	ɔ	45
backstromnorthernpakistan	ˈʈʂʰ/ʈʂʰ	41
backstromnorthernpakistan	ɻ	40
backstromnorthernpakistan	ˈʂ/ʂ	40
backstromnorthernpakistan	e̠/e	39
backstromnorthernpakistan	gʲ	39
backstromnorthernpakistan	o̠ʰ/o	38
backstromnorthernpakistan	ˈe/e	37
backstromnorthernpakistan	ˈtɕʰ/tɕʰ	37
backstromnorthernpakistan	ð	36
backstromnorthernpakistan	ɸ	36
backstromnorthernpakistan	ˈz̪/z̪	36
backstromnorthernpakistan	tθ	35
backstromnorthernpakistan	v	35
backstromnorthernpakistan	ɛ̠ʰ/ɛ	35
backstromnorthernpakistan	ˈo/o	35
backstromnorthernpakistan	ɢ	32
backstromnorthernpakistan	x̯/x	31
backstromnorthernpakistan	ˈɖ/ɖ	31
backstromnorthernpakistan	ɖʐ	29
backstromnorthernpakistan	ˈt̪ʰ/t̪ʰ	29
backstromnorthernpakistan	oʰ/o	28
backstromnorthernpakistan	ˈtθ/tθ	28
backstromnorthernpakistan	ɪ̠/ɪ	26
backstromnorthernpakistan	ˈŋ/ŋ	26
backstromnorthernpakistan	ˈɑ̃/ɑ̃	25
backstromnorthernpakistan	i̥	24
backstromnorthernpakistan	ˈɜ/ɜ	23
backstromnorthernpakistan	ɑ́/ɑ	22
backstromnorthernpakistan	ʈʂʰ	22
backstromnorthernpakistan	ˈx/x	20
backstromnorthernpakistan	ə	19
backstromnorthernpakistan	ˈq/q	18
backstromnorthernpakistan	ˈɪ/ɪ	18
backstromnorthernpakistan	i̠ʰ/i	17
backstromnorthernpakistan	u̥	17
backstromnorthernpakistan	bʲ	16
backstromnorthernpakistan	ˈɳ/ɳ	16
backstromnorthernpakistan	æ	15
backstromnorthernpakistan	ɜ̃	15
backstromnorthernpakistan	ẽ	15
backstromnorthernpakistan	oˑ	14
backstromnorthernpakistan	u/w	14
backstromnorthernpakistan	ɾ̪̥/ɾ̥	14
backstromnorthernpakistan	d̪ʲ	12
backstromnorthernpakistan	o̥	12
backstromnorthernpakistan	ɜi	12
backstromnorthernpakistan	ʔ	12
backstromnorthernpakistan	ˈɢ/ɢ	12
backstromnorthernpakistan	dð	11
backstromnorthernpakistan	l̥	11
backstromnorthernpakistan	ɑˑ	11
backstromnorthernpakistan	ˈt͡sʰ/ts̪	11
backstromnorthernpakistan	ˈò/o	11
backstromnorthernpakistan	β	11
backstromnorthernpakistan	lʲ	10
backstromnorthernpakistan	ˈɖʐ/ɖʐ	10
backstromnorthernpakistan	ˈɜ̃/ɜ̃	10
backstromnorthernpakistan	ˈʈʰ/ʈʰ	10
backstromnorthernpakistan	kʲ	9
backstromnorthernpakistan	pʲ	9
backstromnorthernpakistan	uˑ	9
backstromnorthernpakistan	ɣ̯/ɣ	9
backstromnorthernpakistan	ʊ̠/ʊ	9
backstromnorthernpakistan	ˈʔ/ʔ	9
backstromnorthernpakistan	e̱ʰ/e	8
backstromnorthernpakistan	æ̃	8
backstromnorthernpakistan	ˈr̪/r̪	8
backstromnorthernpakistan	ˈɑ̱/ɑ	8
backstromnorthernpakistan	θ	8
backstromnorthernpakistan	i/j	7
backstromnorthernpakistan	iʰ/i	7
backstromnorthernpakistan	ui	7
backstromnorthernpakistan	ȵʲ	7
backstromnorthernpakistan	ɛ̃	7
backstromnorthernpakistan	bʷ	6
backstromnorthernpakistan	eʰ/e	6
backstromnorthernpakistan	iˑ	6
backstromnorthernpakistan	kʰʲ	6
backstromnorthernpakistan	ɜo	6
backstromnorthernpakistan	ˈf/f	6
backstromnorthernpakistan	ˈɻ/ɻ	6
backstromnorthernpakistan	bʰ	5
backstromnorthernpakistan	dz̪	5
backstromnorthernpakistan	n̪ʲ	5
backstromnorthernpakistan	oi	5
backstromnorthernpakistan	qʰ	5
backstromnorthernpakistan	s̪ˑ	5
backstromnorthernpakistan	uʰ/u	5
backstromnorthernpakistan	ɛ̀/ɛ	5
backstromnorthernpakistan	ɛ́/ɛ	5
backstromnorthernpakistan	ʊˑ	5
backstromnorthernpakistan	ˈqʰ/qʰ	5
backstromnorthernpakistan	ˈv/v	5
backstromnorthernpakistan	ˈũ/ũ	5
backstromnorthernpakistan	ˈž/ʑ	5
backstromnorthernpakistan	n̥	4
backstromnorthernpakistan	tɕʷ	4
backstromnorthernpakistan	t͡sʰ/ts̪ʰ	4
backstromnorthernpakistan	ɑ̠̃/ɑ̃	4
backstromnorthernpakistan	ɜʰ/ɜ	4
backstromnorthernpakistan	ɜ̠̃/ɜ̃	4
backstromnorthernpakistan	ˈð/ð	4
backstromnorthernpakistan	ˈθ/θ	4
backstromnorthernpakistan	ᶺõ/ɜo	4
backstromnorthernpakistan	bʱ	3
backstromnorthernpakistan	dʑʱ	3
backstromnorthernpakistan	eˑ	3
backstromnorthernpakistan	lʱ	3
backstromnorthernpakistan	t̪ˑ	3
backstromnorthernpakistan	u̱ʰ/u	3
backstromnorthernpakistan	xʲ	3
backstromnorthernpakistan	õ̃i	3
backstromnorthernpakistan	ũ̠/ũ	3
backstromnorthernpakistan	ȵ̊	3
backstromnorthernpakistan	ɔ̃	3
backstromnorthernpakistan	ɛ̥	3
backstromnorthernpakistan	ɜ̥	3
backstromnorthernpakistan	ɪ/j	3
backstromnorthernpakistan	ˈgʲ/gʲ	3
backstromnorthernpakistan	ˈt̪ʲ/t̪ʲ	3
backstromnorthernpakistan	d̪ʰ	2
backstromnorthernpakistan	d̪ʱ	2
backstromnorthernpakistan	eu	2
backstromnorthernpakistan	gʱ	2
backstromnorthernpakistan	kʷ	2
backstromnorthernpakistan	n̪̊	2
backstromnorthernpakistan	pʷ	2
backstromnorthernpakistan	tɕʰˑ	2
backstromnorthernpakistan	t̪ʰˑ	2
backstromnorthernpakistan	t̪ʲ	2
backstromnorthernpakistan	ɑe	2
backstromnorthernpakistan	ɑo	2
backstromnorthernpakistan	ɑ̃i	2
backstromnorthernpakistan	ˈei/ei	2
backstromnorthernpakistan	ˈkʷ/kʷ	2
backstromnorthernpakistan	ˈõ/õ	2
backstromnorthernpakistan	ˈĩ/ĩ	2
backstromnorthernpakistan	ˈɑ̀/ɑ	2
backstromnorthernpakistan	ˈẽ/ẽ	2
backstromnorthernpakistan	ẽi	2
backstromnorthernpakistan	dʑʲ	1
backstromnorthernpakistan	eo	1
backstromnorthernpakistan	l̪ʲ	1
backstromnorthernpakistan	mˑ	1
backstromnorthernpakistan	oː	1
backstromnorthernpakistan	o̱/o	1
backstromnorthernpakistan	pː	1
backstromnorthernpakistan	tɕʲ	1
backstromnorthernpakistan	tɕˑ	1
backstromnorthernpakistan	uu̱/uː	1
backstromnorthernpakistan	uʷ/u	1
backstromnorthernpakistan	vʷ	1
backstromnorthernpakistan	õ̠/õ	1
backstromnorthernpakistan	ĩ̠/ĩ	1
backstromnorthernpakistan	ɑʷ/ɑu	1
backstromnorthernpakistan	ɑ̃ˑ	1
backstromnorthernpakistan	ɕʲ	1
backstromnorthernpakistan	ɖˑ	1
backstromnorthernpakistan	ɛː	1
backstromnorthernpakistan	ɜu	1
backstromnorthernpakistan	ɾ̪ʲ/ɾʲ	1
backstromnorthernpakistan	ʂʷ	1
backstromnorthernpakistan	ʈˑ	1
backstromnorthernpakistan	ʰɑ/ɑ	1
backstromnorthernpakistan	ˈgʷ/gʷ	1
backstromnorthernpakistan	ˈkʲ/kʲ	1
backstromnorthernpakistan	ˈn̪ʲ/n̪ʲ	1
backstromnorthernpakistan	ˈpʷ/pʷ	1
backstromnorthernpakistan	ˈŋʷ/ŋʷ	1
backstromnorthernpakistan	ˈɖʲ/ɖʲ	1
backstromnorthernpakistan	ˈɛ̃/ɛ̃	1
backstromnorthernpakistan	ˈʈʲ/ʈʲ	1
backstromnorthernpakistan	ˈʑ/ʑ	1
baf2	n	2053
baf2	ɡ	1725
baf2	k	1633
baf2	¹/a	1529
baf2	⁵/a	1494
baf2	r	1466
baf2	⁵/u	1400
baf2	m	1389
baf2	l	1358
baf2	j	1254
baf2	s	1235
baf2	d	1233
baf2	⁵/i	1202
baf2	¹/u	1173
baf2	b	1171
baf2	t	1139
baf2	⁵/ɛ	968
baf2	¹/i	935
baf2	¹/ɛ	831
baf2	⁵/o	815
baf2	¹/e	710
baf2	w	708
baf2	⁵/ɔ	698
baf2	¹/o	688
baf2	⁵/e	679
baf2	p	639
baf2	dʒ	621
baf2	¹/ɔ	614
baf2	ŋ	493
baf2	ⁿd	458
baf2	a	432
baf2	u	418
baf2	i	389
baf2	e	383
baf2	ɲ	347
baf2	o	340
baf2	ⁿb	312
baf2	ⁿɡ	299
baf2	∼/r̃	267
baf2	¹/aː	253
baf2	⁵/aː	240
baf2	õ	191
baf2	ⁿdʒ	180
baf2	tʃ	174
baf2	h	149
baf2	⁵/iː	149
baf2	∼/w̃	149
baf2	z	144
baf2	ã	141
baf2	ũ	140
baf2	f	139
baf2	aː	135
baf2	∼/j	130
baf2	⁵/ɛː	127
baf2	¹⁵/aː	124
baf2	ĩ	118
baf2	¹⁵/ɛ	111
baf2	ɛ	106
baf2	¹⁵/a	104
baf2	⁵/eː	99
baf2	ɔ	94
baf2	⁵¹/e	94
baf2	¹/ɛː	87
baf2	ɔː	86
baf2	⁵/oː	86
baf2	∼/ɛ	80
baf2	ʔ	78
baf2	⁵/uː	78
baf2	⁵¹/iː	74
baf2	⁵¹/a	72
baf2	³/a	68
baf2	¹/ɔː	66
baf2	¹/eː	64
baf2	¹⁵/ɛː	59
baf2	¹/iː	58
baf2	j̃	51
baf2	⁵¹/i	51
baf2	³/u	50
baf2	iː	48
baf2	¹⁵/ɔː	48
baf2	¹/oː	47
baf2	ɔ̃	45
baf2	r̃	44
baf2	w̃	44
baf2	oː	43
baf2	¹⁵/e	43
baf2	³/i	42
baf2	¹/uː	42
baf2	¹⁵/o	41
